url,title,description,category
https://surfit.io/link/KEbYZ,"프레임워크의 선택, React vs Angular #Front-End개발","저는 이번에 신규 프로젝트의 Front-End(FE) 개발을 혼자 진행하게 되었습니다. 혼자 개발을 하다 보면 자칫 외로운 싸움이 될 수 있는데, 혼자 개발하면서 고민한 부분들을 이렇게 정리하고 공유하면 재미있을 것 같다는 생각이 들어서 포스팅을 작성하게 되었습니다. 앞으로 제가 진행하고 있는 신규 프로젝트 개발 과정을 차례대로 소개할까 합니다.
혼자 프로",Angular
https://surfit.io/link/wndQY,Angular 11.0.0 릴리즈 노트,"한국시각으로 2020년 11월 12일 오전에 Angular 11.0.0이 릴리즈되었습니다.Angular 공식 가이드 문서에 v11.0.0 버전이 빠르게 반영되었고, 공식 블로그에 릴리즈 노트도 게재되었습니다.릴리즈 노트에 어떤 내용이 있는지 살펴봤습니다.



Angular 11 버전이 릴리즈되었습니다.
전 세계 Angular 개발자들을 위해 야심 차게 준",Angular
https://surfit.io/link/5zo1j,2020년과 이후 JavaScript의 동향 - 라이브러리와 프레임워크 1,"어느 한 프레임워크가 독보적인 위치를 차지하지 않는 상태는 많은 이들에게 희망과 고통을 동시에 안겨준다고 할 수 있습니다. 대체로 3(+1)대 프레임워크라고 하는 React, Angular, Vue.js(그리고 Svelte) 중 하나를 선택한다면 괜찮은 선택이라 할 수 있을 것입니다. 하지만 빠른 속도로 변화하는 생태계는 지속적으로 그리고 끊임없이 이들 중",Angular
https://surfit.io/link/3LDND,Angular Tutorial 3 — Datas,"컴포넌트에서 데이터를 보여주고 처리하는 방법












Previous article:

지난 글에서는 Angular 작업 환경은 어떤 방식으로 구성되어 있고, Angular 컴포넌트를 어떻게 생성하는 지에 대해서 살펴보았습니다. 또 ngModel 디렉티브를 활용하여 데이터를 바인딩 하고, 수정을 어떻게 이루는 지에 대해서도 살펴보았습니다.
이번",Angular
https://surfit.io/link/w8yrZ,Angular Tutorial 2 — Components,"Angular CLI를 이용해서 처음 개발 환경을 세팅하고 나면 여러분들이 혼란스러워 할 거라 생각합니다. 그도 그럴 게 꽤 많은 파일이 한번에 생성되었는 데, 어느 파일을 어떻게 수정해야할 지 이해하기 어려울거라 생각되기 때문입니다.
하지만 여러분들이 실제로 개발해나가는 과정에서 제일 중요한 폴더는 src 폴더로, 다른 파일과 폴더들은 차차 이해해나가도 ",Angular
https://surfit.io/link/wmqJk,Angular Tutorial 1 — Getting Started,"Angular 클라이언트 애플리케이션 개발 시작하기












오랜만에 Angular 를 이용하여 개발하고자 하니 Angular 튜토리얼이 굉장히 불친절하다는 걸 새삼스럽게 다시 한 번 느꼈습니다. 왜 React나 Vue의 러닝 커브가 낮다고 느끼는 지도 이해가 가기도 했고요.
React, Vue, Svelte 등 모던 UI 라이브러리들이 관심사",Angular
https://surfit.io/link/wkboO,Lazy loading with Router 또는 without Router,Nx.dev 기반개발에서 Angular 모듈을 Router기반으로 Lazy Loading하기와 Router를 사용하지 않고 Lazy Loading하는 방법에 대해 알아보자. 알단 Lazy Loading 설정을 하게되면 Angular 컴파일시에 자동으로 모듈단위 Code Splitting하여 번들링한다. 따라서 필요한 시점에 필요한 파일만 다운로드를 받기때문,Angular
https://surfit.io/link/374vd,Web Components  기반 마이크로 프론트앤드,Angular v6부터 Web Components에 대한 지원으로 @angular/elements 기능이 추가되어 Custom HTML Tag을 만들 수 있도록 지원한다. 본 글은 해당 사이트의 글을 Nx.dev 환경과 통합하여 개발하는 과정을 설명한다. Nx 환경은 mono repository 기반으로 multi application을 개발 할 수 있는 ,Angular
https://surfit.io/link/KgGpW,Angular v12.0.0 릴리즈 노트,"한국시각으로 2021년 5월 13일 오전에 Angular 12.0.0 버전이 릴리즈 되었습니다.벌써 Angular 공식 가이드 문서에도 새 버전이 반영되었습니다 :)

이번 릴리즈 노트에는 어떤 내용이 있는지 살펴봤습니다.


샌프란시스코의 알라모 스퀘어 공원 - Minko Gechev
드디어 돌아왔습니다, 여러분. Angular v12가 새로 릴리즈 되었",Angular
https://surfit.io/link/3XOQ2,Bloom Filter알고리즘과 Angular DI 성능 개선,"Bloom Filter는 어떤 Set안에 특정 값이 존재하는지 여부를 빠르게 계산할 수 있는 알고리즘이다. 속도도 빠르면서 저장 공간을 적게 차지하기 때문에 대규모 서비스에서 신규회원 여부, 크롬 브라우저의 멀웨어 사이트 여부, hbase, redis 등 여러 군데에 활용되고 있다.
재미있는 점은 이 Bloom Filter 알고리즘은 확률적 자료 구조라는 ",Angular
https://surfit.io/link/Kvazl,안드로이드 앱에 Koin으로 DI 적용하기,"최근 매장 점주분들을 위한 식자재 비용 관리와 분석을 제공하는 도도 카트 안드로이드 앱에 DI(Dependency Injection; 의존성 주입)를 적용하게 되었습니다. 안드로이드에 DI를 적용하면 훌륭한 앱 아키텍처를 위한 토대를 마련할 수 있고 많은 이점을 누릴 수 있습니다.

이 글을 통해 DI가 무엇인지, 왜 적용해야 하는지 간단하게 알아보고 Ko",Angular
